danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,decade
0.437,0.94,9,-6.946,1,0.0426,0.0524,0.000573,0.222,0.48,151.417,audio_features,4NnWuGQujzWUEg0uZokO5M,212013,4,80s
0.692,0.422,2,-10.533,1,0.0333,0.0811,0,0.0848,0.468,74.375,audio_features,2DjWsDGgL1xNbhnr7f6t5F,193120,4,80s
0.565,0.764,1,-9.43,1,0.0351,0.0139,0.00488,0.079,0.686,100.891,audio_features,7gozgbG5EBTukCFWToTRA5,277480,4,80s
0.851,0.406,1,-11.631,1,0.0661,0.219,6.41E-06,0.0853,0.792,97.84,audio_features,4kOfxxnW1ukZdsNbCKY9br,226880,4,80s
0.768,0.829,5,-5.109,1,0.0313,0.0964,2.92E-05,0.097,0.962,118.773,audio_features,2olVm1lHicpveMAo4AUDRB,234333,4,80s
0.315,0.889,0,-8.192,1,0.041,0.000376,0.00241,0.133,0.961,181.329,audio_features,7LyIoUsiMtelB1I0I4drEF,288467,4,80s
0.508,0.834,2,-6.205,1,0.0386,0.0183,0,0.0732,0.774,139.131,audio_features,0GONea6G2XdnHWjNZd6zt3,216053,4,80s
0.398,0.93,11,-6.76,1,0.0615,0.000854,0.121,0.0874,0.725,190.818,audio_features,1YrnDTqvcnUKxAIeXyaEmU,408173,4,80s
0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,audio_features,2tUBqZG2AbRi7Q0BIrVrEj,291293,4,80s
0.69,0.54,4,-10.516,1,0.0317,0.218,0.00657,0.115,0.764,114.846,audio_features,6i8ecOsx4J2Px1maiqzqoG,222733,4,80s
0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,293827,4,80s
0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,audio_features,75FEaRjZTKLhTrFGsfMUXR,298933,4,80s
0.724,0.523,11,-11.139,1,0.116,0.0745,0.703,0.0811,0.965,185.075,audio_features,4xiyq1iRdsxuU1BPUJ490Z,203267,4,80s
0.657,0.552,6,-11.77,1,0.0255,0.0424,0.039,0.106,0.759,128.494,audio_features,6SsP9PE7JT83QZA8kEYHVV,272857,4,80s
0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,audio_features,0WQiDwKJclirSYG9v5tayI,244587,4,80s
0.796,0.872,9,-6.722,0,0.0573,0.287,0,0.284,0.866,129.894,audio_features,56KqaFSGTb7ifpt16t5Y1N,222427,4,80s
0.761,0.67,2,-12.759,1,0.0438,0.21,0.000426,0.0685,0.91,120.752,audio_features,5jSz894ljfWE0IcHBSM39i,215173,4,80s
0.657,0.685,1,-5.203,1,0.0334,0.0246,0,0.037,0.424,96.458,audio_features,029NqmIySn1kOY305AAhxT,313533,4,80s
0.643,0.627,8,-10.972,1,0.0405,0.00773,0.00259,0.123,0.725,114.477,audio_features,0F1O42piteiHP3dRvKUz6p,248587,4,80s
0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,audio_features,4RvWPyQ5RL0ao9LPZeSouE,251489,4,80s
0.463,0.597,11,-13.515,0,0.0637,0.0178,0,0.177,0.735,169.67,audio_features,1YQCRXscu8xE74BVVMUCRr,154667,4,80s
0.64,0.649,2,-10.345,1,0.0264,0.216,8.30E-05,0.0551,0.865,124.825,audio_features,4CoSCPlKNrWli7E5kFtbcl,221053,4,80s
0.606,0.794,0,-7.168,1,0.0291,0.119,7.16E-06,0.125,0.584,105.813,audio_features,2fMAEEhdpXo4ROX5eZcbOg,302827,4,80s
0.626,0.642,4,-9.838,0,0.0264,0.00961,0.081,0.156,0.817,133.947,audio_features,1bki22ZoLCkqb0QIJ5PtJF,333267,4,80s
0.578,0.836,2,-6.607,1,0.0512,0.163,1.36E-06,0.0583,0.932,167.026,audio_features,4HA2jo7wkMdN1lmLO6ryzE,209520,4,80s
0.776,0.763,5,-8.124,1,0.0535,0.182,0.0065,0.077,0.82,128.433,audio_features,0qxYx4F3vm1AOnfux6dDxP,280000,4,80s
0.62,0.446,1,-14.451,0,0.0347,0.589,0.0299,0.0727,0.868,88.591,audio_features,3PzsbWSQdLCKDLxn7YZfkM,155880,4,80s
0.439,0.422,8,-17.227,1,0.0409,0.0148,4.84E-05,0.0697,0.551,81.833,audio_features,7G7tgVYORlDuVprcYHuFJh,236933,4,80s
0.558,0.768,2,-9.997,1,0.0343,0.121,0.0626,0.128,0.429,81.909,audio_features,60HDLY1Dh2Hy9wTVI3WPzO,259500,4,80s
0.85,0.938,9,-6.889,0,0.0415,0.409,0.000346,0.0582,0.84,120.826,audio_features,5HQ639Z3ms3hnZx0KfWnkp,217200,4,80s
0.651,0.949,4,-6.566,0,0.0403,0.00737,0.125,0.286,0.61,113.257,audio_features,2yzPBlE5UXK2sqvnNM9QQ0,285733,4,80s
0.641,0.894,8,-7.41,1,0.0273,0.0857,0.009,0.157,0.972,109.823,audio_features,1KsI8NEeAna8ZIdojI3FiT,199453,4,80s
0.866,0.73,5,-8.201,1,0.0767,0.137,0,0.0843,0.625,118.523,audio_features,2H7PHVdQ3mXqEHXcvclTB0,379267,4,80s
